spearman,top_10_recall,dataset,assay,model
0.4038378140654343,0.22999999999999998,GDPa1_cross_validation,HIC,aggrescan3d
0.11197631781697533,0.05,GDPa1_cross_validation,PR_CHO,aggrescan3d
