spearman,top_10_recall,dataset,assay,model,spearman_abs
0.29633662484586465,0.08333333333333333,GDPa1,AC-SINS_pH7.4,TAP - SFvCSP,0.29633662484586465
0.2450651623577951,0.20833333333333334,GDPa1,HIC,TAP - SFvCSP,0.2450651623577951
0.2415601042370862,0.0,GDPa1,PR_CHO,TAP - SFvCSP,0.2415601042370862
