spearman,top_10_recall,dataset,assay,model,spearman_abs
0.18787666238088782,0.08333333333333333,GDPa1,Titer,AntiFold,0.18787666238088782
0.12180571929434587,0.125,GDPa1,Tm2,AntiFold,0.12180571929434587
